Year,Month,Monthly Rainfall (mm),Highest 60 Min Rainfall in Month (mm),Monthly Mean Temperature,Monthly Mean Wind Speed (km/h)
1990,4,168.0414286,,28.21444444,7.655
1990,5,229.8169048,,28.27634409,7.453225806
1990,6,145.3354762,,28.03111111,9.035
1990,7,110.7933333,,27.27526882,8.091129032
1990,8,122.2228571,,27.7344086,8.82016129
1990,9,211.2316667,,27.01777778,8.053333333
1990,10,203.5809524,,27.21505376,6.85
1990,11,198.5857143,,27.08777778,7.910833333
1990,12,254.747619,,26.21397849,10.70645161
1991,1,140.7136364,,26.58924731,11.09354839
1991,2,59.06363636,,27.00803571,10.90214286
1991,3,143.5272727,,27.60752688,9.61016129
1991,4,232.5530952,,27.44888889,6.888666667
1991,5,237.2111472,,27.37903226,6.988387097
1991,6,131.5562771,,28.35333333,8.535333333
1991,7,86.32272727,,28.10322581,10.22774194
1991,8,165.1909091,,27.61693548,9.544516129
1991,9,69.61818182,,27.3225,8.615333333
1991,10,76.73181819,,27.21290323,6.705806452
1991,11,290.4818182,,26.055,7.616
1991,12,528.552381,,25.43790323,8.603225806
1992,1,112.7045455,,26.43870968,12.74
1992,2,163.8363636,,27.13103448,10.8662069
1992,3,182.8818182,,27.65322581,9.700645161
1992,4,166.4772727,,28.03,7.237333333
1992,5,234.4160173,,27.69112903,7.050967742
1992,6,188.1683983,,27.69333333,8.498
1992,7,223.9731602,,26.8016129,8.16
1992,8,119.2101732,,27.4016129,9.25
1992,9,164.7192641,,27.02916667,8.050666667
1992,10,198.9428571,,27.27580645,8.849032258
1992,11,391.4894487,,26.00583333,8.777333333
1992,12,482.8568546,,25.47419355,8.907096774
1993,1,177.080303,,26.03870968,11.48322581
1993,2,70.70454546,,26.61517857,12.155
1993,3,293.167316,,26.48225806,8.513548387
1993,4,270.1679654,,27.29416667,6.727333333
1993,5,199.7621212,,27.65645161,6.601935484
1993,6,204.0244589,,28.0975,8.314666667
1993,7,259.3227273,,27.43064516,8.669032258
1993,8,122.4636364,,28.0516129,9.375483871
1993,9,131.4954545,,27.24166667,8.342666667
1993,10,271.7140693,,26.93467742,7.238709677
1993,11,312.360606,,26.5175,6.220666667
1993,12,346.2090909,,26.26935484,7.180645161
1994,1,100.3545455,,26.6233871,11.04258065
1994,2,220.0090909,,26.67142857,8.702142857
1994,3,395.3841991,,26.42903226,7.617419355
1994,4,271.0863636,,27.4875,6.714
1994,5,235.3,,27.51612903,6.810322581
1994,6,172.5272727,,27.66833333,8.634666667
1994,7,73.72727273,,27.95887097,10.24
1994,8,159.3034632,,27.45725806,9.452903226
1994,9,50.43636364,,27.6525,7.192
1994,10,127.3748918,,27.20080645,6.497419355
1994,11,340.8794372,,26.285,6.888
1994,12,293.2145022,,26.59274194,8.489677419
1995,1,262.7924242,,26.45806452,10.53935484
1995,2,417.4149943,,25.99196429,9.828571429
1995,3,181.1,,27.10725806,8.163870968
1995,4,212.5681818,,27.43666667,7.037333333
1995,5,170.911039,,27.99569892,7.047741935
1995,6,129.1402597,,28.2875,7.356666667
1995,7,312.7863637,,27.40537634,8.293548387
1995,8,300.5954545,,26.81209677,8.125806452
1995,9,225.5454546,,27.75,7.997333333
1995,10,149.3363636,,27.38870968,7.112258065
1995,11,274.7454545,,26.6625,6.437333333
1995,12,156.2318182,,26.06209677,8.260645161
1996,1,164.4681818,,25.92983871,9.161935484
1996,2,222.6136364,,26.2112069,11.86
1996,3,178.2772727,,27.33709677,10.24322581
1996,4,250.0863636,,27.335,6.535166667
1996,5,212.5636364,,27.88548387,7.021290323
1996,6,188.2954546,,27.8225,6.902
1996,7,183.9727273,,27.86048387,8.322580645
1996,8,349.5181818,,26.99677419,7.325806452
1996,9,141.9772727,,27.505,7.916166667
1996,10,239.1045455,,27.13709677,7.572903226
1996,11,185.9772727,,26.98666667,7.713333333
1996,12,201.9272727,,26.30967742,9.101290323
1997,1,96.2909091,,26.69435484,12.97225806
1997,2,140.5863636,,26.9875,9.834285714
1997,3,175.7863636,,27.56370968,10.05741935
1997,4,232.6727273,,27.37083333,6.744
1997,5,125.3772727,,28.49596774,8.009677419
1997,6,91.77727272,,28.25083333,9.493333333
1997,7,36.90822511,,28.11370968,10.47419355
1997,8,176.9545454,,27.95645161,10.46645161
1997,9,25.96363637,,28.08416667,9.21
1997,10,115.3636364,,27.43064516,6.724354839
1997,11,149.5863636,,27.195,7.056
1997,12,336.15,,26.87258065,8.710967742
1998,1,256.0627706,,27.52016129,10.67532258
1998,2,51.95,,28.40416667,11.44571429
1998,3,87.91363636,,28.99677419,10.58451613
1998,4,163.9227273,,28.77305556,8.685333333
1998,5,332.2045455,,28.825,7.893548387
1998,6,292.7181818,,28.03416667,7.41
1998,7,289.0136363,,27.53306452,7.275483871
1998,8,330.8363636,,26.96935484,7.643870968
1998,9,235.3772727,,27.45916667,8.18
1998,10,259.1409091,,27.76370968,8.381935484
1998,11,139.4636364,,27.58583333,8.734666667
1998,12,382.7560173,,26.34435484,7.516129032
1999,1,270.4883766,,26.34032258,9.313548387
1999,2,102.4954545,,26.98660714,12.18357143
1999,3,242.5181818,,26.82016129,7.296774194
1999,4,119.1181818,,27.93583333,8.093333333
1999,5,241.6344069,,27.55725806,7.211612903
1999,6,144.1012987,,27.5575,7.854
1999,7,186.7017316,,27.2827957,8.544516129
1999,8,242.5545455,,27.00107527,7.991612903
1999,9,166.6272727,,27.37,7.708
1999,10,268.2727273,,26.66048387,6.649032258
1999,11,319.1119913,,26.835,6.713333333
1999,12,300.0772727,,26.63736559,9.809032258
2000,1,300.2136364,,26.05510753,9.443870968
2000,2,218.2636364,,26.32931034,8.452413793
2000,3,273.7441558,,27.00483871,6.896129032
2000,4,298.2036796,,27.19333333,6.063333333
2000,5,103.1181818,,28.18790323,7.32516129
2000,6,180.4681818,,27.17166667,7.26
2000,7,173.3636364,,27.67258065,8.538064516
2000,8,138.5681818,,27.14354839,8.043225806
2000,9,179.1409091,,27.39416667,7.941333333
2000,10,164.3995671,,27.42741935,8.050322581
2000,11,306.2675324,,26.9625,7.481333333
2000,12,216.9954545,,26.83629032,7.785806452
2001,1,417.2136364,,26.17392473,8.18516129
2001,2,105.75,,26.79553571,9.878571429
2001,3,243.8909091,,27.27903226,8.050322581
